Feature,real,fake,MeanDecreaseAccuracy,MeanDecreaseGini
ex,8.51814187882642,-2.9306791069359575,5.390876136173809,3.369776714460329
that.,2.233981889400621,4.629989125004189,5.386318277084997,3.160490449838482
netflix,-0.7325037112490393,6.223320038629887,5.384923513415053,2.3458703585287637
pink,0.4642713735287952,6.151723275135995,5.383894291842682,2.727250354195714
togeth,5.411883979601843,-0.05297488394358153,5.381219887089351,8.693942003826038
ben,6.918123719960055,-0.4061792649212923,5.379494702000826,2.8708720560818093
becam,0.3910334966374775,6.026067893467131,5.377409818533741,3.0242503250334978
next.,8.09588755843805,-3.3286511243917913,5.365663756146719,5.393369469477711
get,-2.2381437079806754,9.105565780261758,5.3547107290047355,9.82573359218783
king,3.0778638091033432,4.489924519721306,5.352495535103993,2.55856295383262
sit,2.348716423733576,5.074969098067472,5.351643257038626,2.6478281441120157
still,8.850078298102158,-5.274976791538725,5.331542371109167,6.243088128181249
fact,6.411835197276946,-1.1888375223875265,5.33034906189589,3.463117171267453
robert,5.068692800446317,2.1233602354490646,5.318288515233999,4.168644107939065
honor,0.06041224350878269,5.783624324036076,5.3082576196619105,3.5262721498176126
august,1.9109120674087492,4.901516474718694,5.297812058750125,3.277788086870083
theroux,5.575393523685309,-1.388496557174421,5.276225873517999,2.970514225252637
singer,4.64349786067237,1.669737396420678,5.2447814513801605,5.744945515522512
he.,6.065785587697805,-0.4003951479330684,5.24094095995279,4.4388587960484305
million,3.1845401343109745,3.8738278949444984,5.240692074559114,5.109175054024434
week,4.056159220631037,2.5670238614929626,5.215684858198107,7.783539338847723
babi,3.957535149159843,2.5711658894300573,5.2119007410630624,6.140993869077493
kyli,6.883796198207462,-0.46928292585948056,5.176314492909482,4.833550352224889
job,4.465722772507678,2.340470359904575,5.1762779989336956,3.116285794864295
artist,2.5923032916225,4.3169120823064,5.175229256466535,4.693040988628322
gave,3.0675167064943207,4.532249673249067,5.170840233321752,3.160365878316918
sport,0.1890867809368799,6.060139276625368,5.147716820660576,3.418923759574488
s,-0.11603258019112536,6.1931883652090995,5.1025743454782955,3.3944027326633814
brother,-0.7179258463298205,5.86899133286832,5.088031317718284,3.2772734239918524
deni,7.695395401421144,-4.079208727739262,5.075132122932143,4.34209343636571
page,2.8246079208927526,4.42190586038286,5.063506532987519,4.357687244791495
see,5.546651439430139,0.3887411363914358,5.060287591739521,8.15129046906055
final,3.752226966655362,2.484411305921322,5.048258498926269,5.489206261091214
face,2.5057584583964028,4.613685511241346,5.043634751298796,6.735413439450019
true,5.955186424078516,-0.2712570736794592,5.041508204473874,4.631554504582579
memori,0.3648341151248066,5.9351582204754605,5.040047381581045,3.0873479296221946
victim,2.2666613346256645,4.819810958258327,5.025131236497345,3.339963670966794
current,0.3480742248415905,6.212954320323269,5.022763721991993,4.086956341513736
realli,2.237159611203937,4.4359642422696846,5.020412033957358,6.537567213321716
nicol,4.471586302591341,2.9115412643781293,5.0178041591370945,3.715173813974356
talent,2.9393117606809187,3.78672164066525,5.01345193006679,3.544333694906156
white,0.3544621519815613,5.655136494579588,5.00419576462858,5.01788344402409
kendal,4.659288235148116,1.9416062631651283,4.9786178579241,2.762950474137897
happen,5.4423298298003475,0.3804933505291776,4.9539402738859675,4.080704533794119
rose,0.02847779600476862,5.765636762926081,4.952789567726538,3.1472424640786594
pass,2.7251073572613445,4.1888392587506935,4.946843999643568,3.576174257776092
two,2.9845480520046284,2.612579658168686,4.931575385103069,7.679974138079771
